State,Year,TotalVehicles,CleanVehicles,NotCleanVehicles,PercentageClean,PercentageNotClean
Michigan,2021,8398200,1106000,7292200,13.169488699959514,86.83051130004048
Michigan,2022,8445900,1149100,7296800,13.605418013473994,86.394581986526
Minnesota,2016,4794500,626100,4168400,13.058713108770467,86.94128689122952
Minnesota,2017,4820300,675900,4144400,14.021948841358423,85.97805115864158
Minnesota,2018,5012200,752100,4260100,15.005386856071187,84.99461314392882
Minnesota,2019,5178900,805600,4373300,15.555426828090907,84.44457317190908
Minnesota,2020,5199900,832800,4367100,16.01569260947326,83.98430739052674
Minnesota,2021,5209500,708200,4501300,13.594394855552355,86.40560514444763
Minnesota,2022,5053400,720000,4333400,14.247833142042982,85.75216685795702
Mississippi,2016,2502500,301200,2201300,12.035964035964037,87.96403596403597
Mississippi,2017,2575600,340400,2235200,13.216337940674016,86.78366205932598
Mississippi,2018,2593600,363000,2230600,13.995990129549659,86.00400987045033
Mississippi,2019,2664300,387600,2276700,14.547911271253236,85.45208872874677
Mississippi,2020,2714500,403300,2311200,14.857248111991158,85.14275188800883
Mississippi,2021,2729200,353700,2375500,12.959841711856953,87.04015828814305
Mississippi,2022,2719900,360000,2359900,13.23578072723262,86.76421927276738
Missouri,2016,5541500,678700,4862800,12.247586393575746,87.75241360642426
Missouri,2017,5740700,823800,4916900,14.350166356019301,85.6498336439807
Missouri,2018,5780400,868600,4911800,15.026641754895856,84.97335824510415
Missouri,2019,5743200,876500,4866700,15.261526675024376,84.73847332497563
Missouri,2020,5554300,847700,4706600,15.262049223124427,84.73795077687556
Missouri,2021,5557900,763000,4794900,13.728206696773961,86.27179330322605
Missouri,2022,5422400,762700,4659700,14.065727353201535,85.93427264679848
Montana,2016,988100,127300,860800,12.883311405728165,87.11668859427184
Montana,2017,980200,133600,846600,13.629871454805143,86.37012854519486
Montana,2018,976000,139000,837000,14.241803278688526,85.75819672131148
Montana,2019,970100,144600,825500,14.905679826821977,85.09432017317802
Montana,2020,970400,146900,823500,15.138087386644683,84.86191261335532
Montana,2021,989600,144700,844900,14.622069523039613,85.37793047696039
Montana,2022,999600,153300,846300,15.336134453781513,84.66386554621849
Nebraska,2016,1820600,233600,1587000,12.830934856640669,87.16906514335933
Nebraska,2017,1850200,257000,1593200,13.890390228083453,86.10960977191655
Nebraska,2018,1866000,273400,1592600,14.651661307609862,85.34833869239013
Nebraska,2019,1881100,285200,1595900,15.1613417681144,84.8386582318856
Nebraska,2020,1897900,293300,1604600,15.453922756731123,84.54607724326888
Nebraska,2021,1928700,252700,1676000,13.102089490330274,86.89791050966973
Nebraska,2022,1940200,262300,1677900,13.51922482218328,86.48077517781671
Nevada,2016,2222600,180000,2042600,8.098623234050212,91.90137676594979
Nevada,2017,2289500,203100,2086400,8.870932518017034,91.12906748198296
Nevada,2018,2352400,223300,2129100,9.49243325964972,90.50756674035027
Nevada,2019,2403700,238600,2165100,9.926363522902193,90.073636477097807
Nevada,2020,2411300,246900,2164400,10.239290009538424,89.76070999046158
Nevada,2021,2477400,229200,2248200,9.251634778396706,90.7483652216033
Nevada,2022,2520700,256500,2264200,10.175744832784545,89.82425516721545
New Hampshire,2016,1307100,123300,1183800,9.433096167087445,90.56690383291256
New Hampshire,2017,1325000,137100,1187900,10.347169811320754,89.65283018867925
New Hampshire,2018,1345000,150000,1195000,11.152416356877323,88.84758364312268
New Hampshire,2019,1367900,160400,1207500,11.72600336281892,88.27399663718109
New Hampshire,2020,1378600,165600,1213000,12.012186275932105,87.9878137240679
New Hampshire,2021,1378200,148800,1229400,10.796691336525903,89.2033086634741
New Hampshire,2022,1373700,151300,1222400,11.014049646938924,88.98595035306107
New Jersey,2016,6729800,565400,6164400,8.401438378555083,91.59856162144492
New Jersey,2017,6911300,612700,6298600,8.865191787362726,91.13480821263728
New Jersey,2018,7151100,657300,6493800,9.191592901791333,90.80840709820866
New Jersey,2019,7242600,696200,6546400,9.612570071521278,90.38742992847872
New Jersey,2020,7080100,699100,6381000,9.87415431985424,90.12584568014576
New Jersey,2021,7095100,624500,6470600,8.80184916350721,91.19815083649279
New Jersey,2022,7148700,686800,6461900,9.60734119490257,90.39265880509743
New Mexico,2016,1673500,172000,1501500,10.277860770839558,89.72213922916045
New Mexico,2017,1814100,206000,1608100,11.355493081969021,88.64450691803097
New Mexico,2018,1830400,218200,1612200,11.920891608391608,88.0791083916084
New Mexico,2019,1857100,230800,1626300,12.427979107210167,87.57202089278984
New Mexico,2020,1866000,236900,1629100,12.695605573419078,87.30439442658093
New Mexico,2021,1903300,222200,1681100,11.674460148163716,88.32553985183628
New Mexico,2022,1929400,233300,1696100,12.091842023426972,87.90815797657304
New York,2016,11407600,1090400,10317200,9.558539920754585,90.44146007924542
New York,2017,11457800,1167000,10290800,10.185201347553631,89.81479865244637
New York,2018,11483600,1224700,10258900,10.664774112647601,89.3352258873524
New York,2019,11497200,1268600,10228600,11.033990884737154,88.96600911526285
New York,2020,11467900,1284600,10183300,11.201702142502116,88.79829785749789
New York,2021,11377800,1025800,10352000,9.015802703510346,90.98419729648965
New York,2022,11306300,1086100,10220200,9.606148784306095,90.39385121569391
North Carolina,2016,8206300,782800,7423500,9.53901270974739,90.46098729025262
North Carolina,2017,8366300,875200,7491100,10.461016219834335,89.53898378016567
North Carolina,2018,8480900,946600,7534300,11.16155125045691,88.83844874954309
North Carolina,2019,8663300,1013300,7650000,11.696466704373622,88.30353329562638
North Carolina,2020,8783700,1057400,7726300,12.038207133668044,87.96179286633196
North Carolina,2021,8912800,940000,7972800,10.546629566466207,89.45337043353379
North Carolina,2022,8970300,986700,7983600,10.999632119327114,89.0003678806729
North Dakota,2016,765500,127100,638400,16.603527106466363,83.39647289353364
North Dakota,2017,775100,137100,638000,17.688040252870596,82.311959747129407
North Dakota,2018,772500,141600,630900,18.33009708737864,81.66990291262137
North Dakota,2019,778800,144200,634600,18.51566512583462,81.48433487416538
North Dakota,2020,781600,144200,637400,18.44933469805527,81.55066530194472
