State,Year,Type,Count,Clean
Maine,2016,Plug-In Hybrid Electric (PHEV),1000,1
Maine,2016,Hybrid Electric (HEV),17900,1
Maine,2016,Biodiesel,0,1
Maine,2016,Ethanol/Flex (E85),104700,1
Maine,2016,Compressed Natural Gas (CNG),1700,1
Maine,2016,Propane,0,1
Maine,2016,Hydrogen,0,1
Maine,2016,Methanol,0,1
Maine,2016,Gasoline,1011700,0
Maine,2016,Diesel,31000,0
Maine,2016,Unknown Fuel,12900,0
Maryland,2016,Electric (EV),3200,1
Maryland,2016,Plug-In Hybrid Electric (PHEV),5000,1
Maryland,2016,Hybrid Electric (HEV),85900,1
Maryland,2016,Biodiesel,0,1
Maryland,2016,Ethanol/Flex (E85),327800,1
Maryland,2016,Compressed Natural Gas (CNG),6100,1
Maryland,2016,Propane,0,1
Maryland,2016,Hydrogen,0,1
Maryland,2016,Methanol,0,1
Maryland,2016,Gasoline,4039100,0
Maryland,2016,Diesel,105200,0
Maryland,2016,Unknown Fuel,44500,0
Massachusetts,2016,Electric (EV),3600,1
Massachusetts,2016,Plug-In Hybrid Electric (PHEV),5200,1
Massachusetts,2016,Hybrid Electric (HEV),98300,1
Massachusetts,2016,Biodiesel,0,1
Massachusetts,2016,Ethanol/Flex (E85),315600,1
Massachusetts,2016,Compressed Natural Gas (CNG),3400,1
Massachusetts,2016,Propane,0,1
Massachusetts,2016,Hydrogen,0,1
Massachusetts,2016,Methanol,0,1
Massachusetts,2016,Gasoline,4623900,0
Massachusetts,2016,Diesel,79000,0
Massachusetts,2016,Unknown Fuel,38800,0
Michigan,2016,Electric (EV),1600,1
Michigan,2016,Plug-In Hybrid Electric (PHEV),11600,1
Michigan,2016,Hybrid Electric (HEV),64900,1
Michigan,2016,Biodiesel,0,1
Michigan,2016,Ethanol/Flex (E85),1186000,1
Michigan,2016,Compressed Natural Gas (CNG),19800,1
Michigan,2016,Propane,0,1
Michigan,2016,Hydrogen,0,1
Michigan,2016,Methanol,0,1
Michigan,2016,Gasoline,6902900,0
Michigan,2016,Diesel,190800,0
Michigan,2016,Unknown Fuel,81100,0
Minnesota,2016,Electric (EV),1600,1
Minnesota,2016,Plug-In Hybrid Electric (PHEV),2400,1
Minnesota,2016,Hybrid Electric (HEV),58900,1
Minnesota,2016,Biodiesel,0,1
Minnesota,2016,Ethanol/Flex (E85),549600,1
Minnesota,2016,Compressed Natural Gas (CNG),13600,1
Minnesota,2016,Propane,0,1
Minnesota,2016,Hydrogen,0,1
Minnesota,2016,Methanol,0,1
Minnesota,2016,Gasoline,3981400,0
Minnesota,2016,Diesel,135100,0
Minnesota,2016,Unknown Fuel,51900,0
Mississippi,2016,Electric (EV),100,1
Mississippi,2016,Plug-In Hybrid Electric (PHEV),200,1
Mississippi,2016,Hybrid Electric (HEV),11800,1
Mississippi,2016,Biodiesel,0,1
Mississippi,2016,Ethanol/Flex (E85),279600,1
Mississippi,2016,Compressed Natural Gas (CNG),9500,1
Mississippi,2016,Propane,0,1
Mississippi,2016,Hydrogen,0,1
Mississippi,2016,Methanol,0,1
Mississippi,2016,Gasoline,2106700,0
Mississippi,2016,Diesel,78300,0
Mississippi,2016,Unknown Fuel,16300,0
Missouri,2016,Electric (EV),1400,1
Missouri,2016,Plug-In Hybrid Electric (PHEV),2100,1
Missouri,2016,Hybrid Electric (HEV),63800,1
Missouri,2016,Biodiesel,0,1
Missouri,2016,Ethanol/Flex (E85),589600,1
Missouri,2016,Compressed Natural Gas (CNG),21800,1
Missouri,2016,Propane,0,1
Missouri,2016,Hydrogen,0,1
Missouri,2016,Methanol,0,1
Missouri,2016,Gasoline,4597300,0
Missouri,2016,Diesel,194200,0
Missouri,2016,Unknown Fuel,71300,0
Montana,2016,Electric (EV),200,1
Montana,2016,Plug-In Hybrid Electric (PHEV),200,1
Montana,2016,Hybrid Electric (HEV),9800,1
Montana,2016,Biodiesel,0,1
Montana,2016,Ethanol/Flex (E85),111700,1
Montana,2016,Compressed Natural Gas (CNG),5400,1
Montana,2016,Propane,0,1
Montana,2016,Hydrogen,0,1
Montana,2016,Methanol,0,1
Montana,2016,Gasoline,750600,0
Montana,2016,Diesel,87600,0
Montana,2016,Unknown Fuel,22600,0
Nebraska,2016,Electric (EV),300,1
Nebraska,2016,Plug-In Hybrid Electric (PHEV),600,1
Nebraska,2016,Hybrid Electric (HEV),14500,1
Nebraska,2016,Biodiesel,0,1
Nebraska,2016,Ethanol/Flex (E85),208300,1
Nebraska,2016,Compressed Natural Gas (CNG),9900,1
Nebraska,2016,Propane,0,1
Nebraska,2016,Hydrogen,0,1
Nebraska,2016,Methanol,0,1
Nebraska,2016,Gasoline,1468900,0
Nebraska,2016,Diesel,79800,0
Nebraska,2016,Unknown Fuel,38300,0
Nevada,2016,Electric (EV),2000,1
Nevada,2016,Plug-In Hybrid Electric (PHEV),1400,1
